City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Chuy,UY,49.41,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
5,Hermanus,ZA,52.81,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
9,Taltal,CL,61.09,overcast clouds,-25.4,-70.4833,Residencial Karime
11,Avila,ES,48.65,broken clouds,40.5833,-5.0,El Carrascal
12,Cerqueira Cesar,BR,62.58,broken clouds,-23.0356,-49.1661,Pousada São Jorge
14,Aras,ES,48.61,clear sky,42.5617,-2.356,Jardines de Viana Spa
20,Cape Town,ZA,56.12,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
21,Port Elizabeth,ZA,61.11,clear sky,-33.918,25.5701,39 On Nile Guest House
22,Maun,BW,51.76,clear sky,-19.9833,23.4167,Enviro Villa
23,East London,ZA,59.94,clear sky,-33.0153,27.9116,Tu Casa
29,Lagoa,PT,60.73,scattered clouds,39.05,-27.9833,Casa Das Faias
33,Vryburg,ZA,54.79,few clouds,-26.9566,24.7284,The Times Premier Lodge
34,Masalli,KR,58.68,overcast clouds,34.7959,126.6553,영암펜션
35,Klaksvik,FO,45.52,overcast clouds,62.2266,-6.5889999999999995,Airbnb rooms
37,Ribeira Grande,PT,61.83,few clouds,38.5167,-28.7,Quinta da Meia Eira
44,Codrington,AU,62.26,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
45,Port Alfred,ZA,56.17,scattered clouds,-33.5906,26.891,The Halyards Hotel
49,Siderno,IT,61.34,overcast clouds,38.2779,16.302,Grand Hotel President
50,Girona,ES,60.12,scattered clouds,41.9831,2.8249,Palau de Bellavista by URH
58,Hamilton,US,64.24,light rain,39.1834,-84.5333,Six Acres Bed & Breakfast
62,Mwinilunga,ZM,58.28,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
65,Valparaiso,CL,54.48,clear sky,-33.0393,-71.6273,Hotel Ultramar
71,Havelock,US,64.92,broken clouds,34.8791,-76.9013,Sherwood Motel
73,Vestmannaeyjar,IS,45.64,clear sky,63.4427,-20.2734,Glamping & Camping
76,Cidreira,BR,60.12,clear sky,-30.1811,-50.2056,Hotel Castelo
77,Hofn,IS,45.79,few clouds,64.2539,-15.2082,Hótel Höfn
84,Kruisfontein,ZA,58.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
85,Antofagasta,CL,60.08,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
89,Lebu,CL,48.18,clear sky,-37.6167,-73.65,Hostal Las Lilas
102,Kashi,CN,63.61,dust,39.4547,75.9797,帕米尔青年旅舍
103,Waddan,LY,62.65,clear sky,29.1614,16.139,محل الشريف محمد العايب
112,Los Llanos De Aridane,ES,60.55,clear sky,28.6585,-17.9182,Valle Aridane
118,Songea,TZ,57.69,overcast clouds,-10.6833,35.65,mtakuja
119,Bredasdorp,ZA,54.05,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
122,Ponta Do Sol,PT,63.01,scattered clouds,32.6667,-17.1,Hotel do Campo
123,Presidencia Roque Saenz Pena,AR,61.16,overcast clouds,-26.7852,-60.4388,Hotel Gualok
125,Sayyan,YE,60.8,clear sky,15.1718,44.3244,ملاطف ابوحورية
126,Livingstonia,MW,59.29,light rain,-10.606,34.1063,Stone House Guest House
134,Saint Anthony,US,54.09,overcast clouds,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
137,Kalabo,ZM,58.23,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
139,Filadelfia,US,53.49,clear sky,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
142,Independenta,RO,48.18,scattered clouds,45.4833,27.75,Magazie lui Gix
144,Weymouth,US,46.71,scattered clouds,42.2209,-70.9398,Arbor Inn Motor Lodge
147,Abbeville,FR,46.49,overcast clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
152,Boyabat,TR,57.61,broken clouds,41.4689,34.7667,Kolaz Palas Otel
154,Muros,ES,52.84,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
161,Abrau-Dyurso,RU,53.06,overcast clouds,44.69,37.59,Avgustin Inn
164,Skibbereen,IE,48.11,overcast clouds,51.55,-9.2667,The West Cork Hotel
165,San Rafael,AR,50.2,clear sky,-34.6177,-68.3301,Hotel San Rafael
168,Praia Da Vitoria,PT,61.75,few clouds,38.7333,-27.0667,Hotel Branco I
180,General Roca,AR,48.61,broken clouds,-39.0333,-67.5833,Hotel El Recreo
181,Cinisi,IT,58.24,broken clouds,38.1562,13.1073,Florio Park Hotel
183,Lasa,IT,49.08,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
197,Zandvoort,NL,47.91,broken clouds,52.3749,4.5341,Pension & Spa de Watertoren
204,Gonen,TR,59.02,overcast clouds,40.1049,27.654,Gönen Palmiye Butik Pansiyon
211,Teguise,ES,61.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
212,Mantua,IT,58.24,scattered clouds,45.1667,10.7833,Hotel la Favorita
216,Malanje,AO,61.86,overcast clouds,-9.5402,16.340999999999998,Hotel Ginga
224,Saint-Raymond,CA,46.9,few clouds,45.467,-73.6095,La Tour Belvedere hotel
227,Castro,BR,57.06,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
229,Pirgos,GR,64.62,scattered clouds,35.1167,25.7178,Elpida Village
231,Abha,SA,62.85,clear sky,18.2164,42.5053,Abha Hotel
235,Yershov,RU,48.43,broken clouds,51.3513,48.2766,Gudok
239,Leh,IN,47.48,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
240,Santa Cruz,BO,63.86,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
246,Calama,CL,45.09,clear sky,-22.4667,-68.9333,Park Hotel Calama
251,Bindura,ZW,53.2,clear sky,-17.3019,31.3306,Mayfair Lodges and Restaurant
252,Nantucket,US,48.31,overcast clouds,41.2835,-70.0995,Jared Coffin House
254,Taman,RU,54.55,overcast clouds,45.2117,36.7161,Staryy Gorod G. Taman'
262,Ordzhonikidze,KZ,51.93,broken clouds,52.4411,61.7408,Tomiris
263,Bruchsal,DE,52.32,light rain,49.1281,8.5836,PLAZA Hotel Bruchsal
276,Nouadhibou,MR,62.58,scattered clouds,20.930999999999997,-17.0347,El Medina
287,Sulina,RO,51.8,broken clouds,45.1559,29.6536,Hotel Delta Est
292,Hayvoron,UA,45.66,few clouds,48.3396,29.8679,Ukraine
293,Kargil,IN,47.82,few clouds,34.5667,76.1,Hotel Caravan Sarai Kargil
297,Shambu,ET,55.85,clear sky,9.5667,37.1,Wabe Hotel
298,Saldanha,ZA,50.05,broken clouds,-33.0117,17.9442,Blue Bay Lodge
300,Inhambane,MZ,62.58,few clouds,-23.865,35.3833,Oceano
308,Menongue,AO,55.83,clear sky,-14.6585,17.691,Ritz Lauca
314,Chokwe,MZ,62.47,clear sky,-24.5333,32.9833,Complexo Sonho Real
315,Vangaindrano,MG,64.98,clear sky,-23.35,47.6,Hotel Fanilo
320,Marsaxlokk,MT,61.09,clear sky,35.8419,14.5431,Water's Edge
328,Baraboo,US,54.0,overcast clouds,43.4711,-89.7443,Thunderbird Motor Inn
333,Atocha,BO,48.6,overcast clouds,-20.9333,-66.2333,ALOJAMIENTO RESTAURANT BARQUITO
343,Cefalu,IT,58.53,broken clouds,38.0386,14.0229,Hotel La Giara
349,Barra Da Estiva,BR,60.6,overcast clouds,-13.6261,-41.3269,Pousada Central
357,Senekal,ZA,46.8,clear sky,-28.3197,27.6208,Hendersons Lodge
358,Bayir,TR,55.92,overcast clouds,37.2687,28.2167,Hotel Babadag
363,Schwabisch Gmund,DE,51.78,overcast clouds,48.7995,9.7981,Hotel Pelikan
377,Chimoio,MZ,57.06,clear sky,-19.1164,33.4833,Predio Livraria Ahmed
379,Mikhaylovka,RU,50.7,overcast clouds,50.06,43.2379,5 Komnat
386,Arnedo,ES,49.5,overcast clouds,42.2167,-2.1,Hotel Virrey
391,Arica,CL,59.23,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
397,Misratah,LY,62.74,broken clouds,32.3754,15.0925,Almasa Hotel
398,Kondoa,TZ,59.63,broken clouds,-4.9,35.7833,Bab Al Shams Inland Lodge
403,Malmesbury,ZA,53.11,broken clouds,-33.4608,18.7271,SuNel's Guest Rooms
412,Chachapoyas,PE,53.56,light rain,-6.2317,-77.869,Teresita
415,Beeskow,DE,45.34,overcast clouds,52.1667,14.25,AWO Jugend- und Erlebnishof Beeskow
417,Itarare,BR,61.21,broken clouds,-24.1125,-49.3317,Hospedaria Frei Caneca
419,Ferrol,ES,53.67,broken clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
423,Korfez,TR,56.79,overcast clouds,40.7767,29.7297,Neva Stargate Hotel&Spa
425,Margate,GB,47.3,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
429,Algete,ES,57.18,clear sky,40.5971,-3.4974,Pensión la Imprenta
431,Mizan Teferi,ET,61.23,overcast clouds,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
432,Constantine,DZ,49.41,scattered clouds,36.365,6.6147,Grand Hotel Cirta
433,Miguel Calmon,BR,64.11,broken clouds,-11.4289,-40.595,Pousada Guiomar
440,Bichena,ET,62.06,few clouds,10.45,38.2,Dagm Tesfa Hotel ዳግም ተስፋ ሆቴል
448,Zahesi,GE,58.71,broken clouds,41.8246,44.7536,Sanapiro
450,Letlhakane,BW,61.5,clear sky,-21.4167,25.5833,Motswedi Hotel
459,Ngorongoro,TZ,53.69,overcast clouds,-3.2397,35.4875,Simba Special Campsite B
464,Luena,AO,55.04,few clouds,-11.7833,19.9167,Hotel Kandamba
467,Vertou,FR,46.38,clear sky,47.1687,-1.4693,Hotel La Louée
473,Ak-Dovurak,RU,62.74,overcast clouds,51.1833,90.6,Khostel Avtomoyka Stoyaka
475,Beloit,US,55.45,moderate rain,42.5084,-89.0318,Best Western Legacy Inn & Suites Beloit-South Beloit
478,Cervo,ES,52.77,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
484,Ajdabiya,LY,62.73,few clouds,30.7554,20.2263,Almadina Hotel
491,Shahreza,IR,55.83,overcast clouds,32.0339,51.8794,خوابگاه
495,Washington,US,52.9,overcast clouds,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
497,Rio Grande,BR,55.8,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
498,Volterra,IT,47.75,clear sky,43.4003,10.86,Hotel San Lino
505,Ostuni,IT,57.25,scattered clouds,40.7276,17.5764,Hotel Relais La Sommità
507,Korla,CN,62.35,clear sky,41.7597,86.1469,Gulisitan Hotel
509,Siaya,KE,64.83,overcast clouds,0.0612,34.2882,Siala Apartments
510,Tsabong,BW,61.9,scattered clouds,-26.0217,22.401,Springbok Motel
511,Ihosy,MG,61.77,few clouds,-22.4,46.1167,Hotely Sariaka
512,Soyaux,FR,54.68,clear sky,45.65,0.2,Mercure Angoulême - Hôtel de France
519,Kabare,CD,60.51,overcast clouds,-2.4683,28.8242,Hôtel Panorama
524,Iquique,CL,59.04,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
525,Maxixe,MZ,62.42,few clouds,-23.8597,35.3472,Oceano
527,Coquimbo,CL,58.73,overcast clouds,-29.9533,-71.3436,Hotel San Juan
533,Montana,BG,52.0,overcast clouds,43.4125,23.225,Веста
535,Marsa Matruh,EG,62.8,clear sky,31.3525,27.2453,Beau Site
538,Comrat,MD,49.44,scattered clouds,46.3003,28.6572,Caral
542,Manjacaze,MZ,63.66,clear sky,-24.7117,33.8828,Hotel Gani
547,Vieste,IT,57.67,clear sky,41.8825,16.175,Hotel Falcone
549,Targoviste,RO,49.06,clear sky,44.9214,25.4557,Hotel Dâmbovița
552,Sibay,RU,47.98,broken clouds,52.7181,58.6658,Hotel Tatiana
553,Constitucion,CL,51.17,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
555,Requena,ES,50.86,broken clouds,39.4883,-1.1004,Hotel Avenida
557,Colares,PT,63.79,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
560,Elizabethtown,US,64.49,broken clouds,37.694,-85.8591,"Motel 6 Elizabethtown, KY"
573,Saint Cloud,US,53.6,mist,45.5608,-94.1625,Homewood Suites by Hilton St Cloud
575,Foumban,CM,63.55,overcast clouds,5.7291,10.9001,Hotel Pekassa De Karche
577,Paysandu,UY,48.6,clear sky,-32.3214,-58.0756,Gran Hotel Paysandú
586,Los Andes,CL,53.01,scattered clouds,-32.8337,-70.5983,Hotel Los Andes
588,Dois Vizinhos,BR,64.51,broken clouds,-25.7336,-53.0572,Dois Vizinhos Palace Hotel
593,Elizabeth City,US,53.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
594,Aktash,RU,51.3,broken clouds,50.3,87.7333,Yolki Zelonyye
601,Kolo,PL,45.82,scattered clouds,52.2002,18.6387,Noclegi w Kole
611,Bud,US,61.14,overcast clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
612,Sol-Iletsk,RU,49.26,overcast clouds,51.1631,54.9918,Raduzhnaya
613,Manosque,FR,50.23,overcast clouds,43.8288,5.7869,Hôtel Restaurant Campanile Manosque
616,Shubarkuduk,KZ,61.86,overcast clouds,49.1447,56.4872,Sirius
621,Mankato,US,54.95,overcast clouds,44.1636,-93.9994,Hilton Garden Inn Mankato Downtown
624,Naron,ES,54.01,broken clouds,43.5167,-8.1528,Marcial
626,Rawson,AR,47.8,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
627,Murtino,MK,56.66,overcast clouds,41.4153,22.7267,AtlantiS SPA
628,Sudak,UA,55.83,overcast clouds,44.85,34.9667,Solari Beach
631,Erice,IT,51.37,clear sky,38.037,12.5865,I Mulini Resort
633,Copiapo,CL,51.49,overcast clouds,-27.3667,-70.3333,Antay Casino Hotel
634,Zaozerne,UA,53.53,broken clouds,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
637,Metu,ET,64.15,few clouds,8.3,35.5833,Selam pension
638,Concarneau,FR,46.81,overcast clouds,47.875,-3.9225,Brit Hotel de L' Océan
639,Tigzirt,DZ,55.27,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
640,Grojec,PL,50.4,few clouds,51.8625,20.8676,Guest Rooms ZACISZE
641,Bad Kreuznach,DE,51.53,overcast clouds,49.8333,7.8667,BC Hotel Bad Kreuznach mit Restaurant Mühlentor
645,Qorveh,IR,55.18,overcast clouds,35.1664,47.8045,بانک مهر ایران
647,De Aar,ZA,48.61,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
653,Boyuibe,BO,55.92,overcast clouds,-20.4167,-63.2833,Residencial Eluzai
656,Irupi,BR,61.12,clear sky,-20.3453,-41.6411,Hotel Pousada Caminhos do Caparaó
661,Arona,ES,58.82,clear sky,28.0996,-16.680999999999997,Paradise Court
662,Darnah,LY,62.64,clear sky,32.766999999999996,22.6367,فندق الفردوس
664,Zambezi,ZM,57.72,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
665,Viedma,AR,45.37,overcast clouds,-40.8135,-62.9967,Hotel Cristal
669,Camacha,PT,58.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
671,Poli,TZ,61.07,overcast clouds,-3.3333,36.8,Urafiki House
677,Killybegs,IE,48.85,light rain,54.6333,-8.45,Tara Hotel
693,Pinkafeld,AT,46.76,few clouds,47.3667,16.1167,Stadthotel & Restaurant Pinkafeld
703,Rogozno,PL,45.99,scattered clouds,52.7523,16.9905,Ośrodek Rekreacyjno Sportowy
711,Radcha,UA,48.07,broken clouds,48.8502,24.655,Pid Yavorom
715,Oriental,MX,61.23,overcast clouds,19.3667,-97.6167,Motel 111
720,Khiv,RU,54.95,overcast clouds,41.7543,47.9306,Four Seasons
721,Zvishavane,ZW,55.47,clear sky,-20.3267,30.0665,Hotel Boutique Runde
